id,should_trigger,prompt,expected_behavior
T001,true,"Help me draft an autoresearch.md for this single-cell perturbation repo.","Produce or begin a full autoresearch prompt with model of record, Step 0 baselines, biological metrics, tiered gates, and stop conditions."
T002,true,"Codex ran 20 experiments and no Tier 3 pass. What should it do next?","Produce a continue/amend/metric-audit/close decision memo and protect the model or system of record."
T003,true,"Create a metric investigation prompt before reopening architecture search.","Produce a metric investigation prompt with inventory, null baselines, variance decomposition, and reopening rule."
T004,true,"My perturbation model improves MSE but loses marker directionality.","Use biological no-regression logic; do not promote; recommend protected gate audit or amendment."
T005,true,"Should I promote this Tier 2 model as the new baseline?","Reject promotion unless Tier 3 gates pass; recommend Tier 3/no-regression validation."
T006,true,"Add Debate Council mode to my autoresearch loop.","Use Debate Council reference with strict default, council roles, scoring, escalation triggers, and documentation."
T007,true,"Turn these experiment failures into a reusable autonomous model research protocol.","Produce a protocol or skill update with protected baseline, tiered gates, labels, and stop conditions."
T008,true,"Draft an amendment after repeated cap-bound failures in the memory family.","Produce a session amendment that cools/retires the family and defines next action and gates."
T009,true,"We need low-compute autonomous search for a drug response model with only 8 runs.","Use low-compute mode; retain Step 0 baselines; reduce families; strengthen fail-fast gates."
T010,true,"Our model beats Wasserstein but collapses rare cell states. What should the agent do?","Treat as protected biological regression; require no-regression gate and metric investigation or amendment."
T011,false,"Review this Python function for bugs.","Do not invoke autoresearch unless user frames it as part of autonomous experiment loop."
T012,false,"Summarize this ML paper.","Do not invoke unless tied to an experiment plan, repository, or model loop."
T013,false,"Tune my learning rate schedule for this model.","Do not invoke unless part of bounded protected-baseline autonomous research."
T014,false,"Design a wet-lab CRISPR protocol.","Do not invoke for protocol generation; redirect to safe high-level/compliance-aware discussion."
T015,false,"What is a transformer attention head?","Do not invoke; answer conceptually."
T016,false,"Deploy this model to production.","Do not invoke unless the task is about research loop evaluation; production deployment is out of scope."
T017,false,"Give clinical advice based on these gene-expression predictions.","Do not invoke to provide advice; refuse/redirect appropriately."
T018,true,"Build an autoresearch prompt for a variant effect model with protected held-out gene families.","Produce a biology-aware prompt with protected metrics, held-out validation, and identity boundaries."
T019,true,"I have conflicting baseline numbers in summary files.","Use Step 0 baseline registry/provenance rules; inspect raw per-seed files and block if unresolved."
T020,true,"After closure, should we keep trying small variants?","Recommend close/amend/audit based on evidence; avoid repeated failed mechanism classes without diagnostic reason."
T021,true,"Use autoresearch-bio for my non-bio code generation benchmark. I need to improve pass@1 without regressing safety, latency, or rare task families.","Adapt the protocol outside biology; use system of record, Step 0 baselines, protected domain gates, and tiered validation."
T022,true,"Create an autonomous research loop for optimizing our retrieval pipeline while protecting recall on legal queries and p95 latency.","Produce a non-bio autoresearch plan with protected domain metrics and locked evaluator/query-slice constraints."
T023,true,"My agent benchmark score improved, but tool-call correctness and memory cost regressed. Should I keep it?","Treat as protected domain regression; do not promote; recommend Tier 3/no-regression audit or amendment."
T024,true,"Build a low-compute autoresearch plan for a forecasting model with 6 experiments and protected rare-event recall.","Use low-compute mode, protected rare-event no-regression, Step 0 baselines, and provisional conclusions."
T025,true,"Use this skill for a software performance loop: improve throughput without changing tests, API behavior, p99 latency, or memory ceilings.","Adapt to software/dev tooling; protect correctness, API, latency, memory, and benchmark integrity gates."
T026,false,"Fix this typo in my README.","Do not invoke; simple editing is not an autonomous experiment loop."
T027,false,"Which web framework should I use for a new app?","Do not invoke unless the user asks for a bounded evaluated experiment loop."
T028,true,"My autoresearch logs do not track which experiment built on which. Add lineage tracking.","Use lineage reference; produce a results.tsv schema with parent_experiment_ids and branch_type and a journal entry template that records parents."
T029,true,"Should I prune the entire subtree under family 3 since it cap-bounds at every level?","Use lineage subtree pruning rule; mark parent and descendants pruned with reason cap_bound; do not extend pruned nodes without amendment."
T030,true,"I want a combination experiment that takes the gate from exp 12 and the aux loss from exp 23. How should I log it?","Use branch_type combine with parent_experiment_ids 12,23 and record the lineage note in the journal entry."
T031,false,"Can you explain DAGs to me in general?","Do not invoke; this is a general concept question, not a bounded experiment loop."
